"CO2 concentration [%] of flush gas",0,
"Process temperature [Celsius]",45,
"Mixer on time [min]",15,
"Mixer off time [min]",5,
"Mixer speed adjustment [%]",60,
"Eliminate overestimation","No",
"",
"Flow Cell nr.",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
"Name","Blank 1","Blank 2","Cellulose","untr. sub A 1 1","untr. sub A 1 2","Treatment A - Sub A 1","Treatment A - Sub A 2","Treatment B - Sub A 1","Treatment B - Sub A 2","untr. sub B 1 1","untr. sub B 1 2","Treatment A - Sub B 1","Treatment A - Sub B 2","FTreatment B - Sub B 1","FTreatment B - Sub B 2",
"Substrate VS/COD amount [g]",0,0,8.22,5.59,5.59,6.7,6.7,3.72,3.72,6.46,6.46,1.94,1.94,5.01,5.01,
"Inoculum VS/COD amount [g]",12.44,12.44,16.43,11.18,11.18,13.4,13.4,7.43,7.43,12.94,12.94,3.88,3.88,10.02,10.02,
"Type of unit [VS/COD]","VS","VS","VS","VS","VS","VS","VS","VS","VS","VS","VS","VS","VS","VS","VS",
"Headspace volume [ml]",200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
"Assumed CH4 content [%]",60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
"",
"Day","Blank 1 Volume [Nml]","Blank 2 Volume [Nml]","Cellulose Volume [Nml]","untr. sub A 1 1 Volume [Nml]","untr. sub A 1 2 Volume [Nml]","Treatment A - Sub A 1 Volume [Nml]","Treatment A - Sub A 2 Volume [Nml]","Treatment B - Sub A 1 Volume [Nml]","Treatment B - Sub A 2 Volume [Nml]","untr. sub B 1 1 Volume [Nml]","untr. sub B 1 2 Volume [Nml]","Treatment A - Sub B 1 Volume [Nml]","Treatment A - Sub B 2 Volume [Nml]","FTreatment B - Sub B 1 Volume [Nml]","FTreatment B - Sub B 2 Volume [Nml]","Blank 1 Flow [Nml/day]","Blank 2 Flow [Nml/day]","Cellulose Flow [Nml/day]","untr. sub A 1 1 Flow [Nml/day]","untr. sub A 1 2 Flow [Nml/day]","Treatment A - Sub A 1 Flow [Nml/day]","Treatment A - Sub A 2 Flow [Nml/day]","Treatment B - Sub A 1 Flow [Nml/day]","Treatment B - Sub A 2 Flow [Nml/day]","untr. sub B 1 1 Flow [Nml/day]","untr. sub B 1 2 Flow [Nml/day]","Treatment A - Sub B 1 Flow [Nml/day]","Treatment A - Sub B 2 Flow [Nml/day]","FTreatment B - Sub B 1 Flow [Nml/day]","FTreatment B - Sub B 2 Flow [Nml/day]",
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,71.6,79.05,50.85,594.48,667.84,298.89,303.68,619.67,616.06,119.88,119.81,104.01,103.75,27.33,131.48,71.6,79.05,50.85,594.48,667.84,298.89,303.68,619.67,616.06,119.88,119.81,104.01,103.75,27.33,131.48,
2,116.1,125.24,141.72,1117.79,1171.16,564.95,579.4,1204.11,1214.92,222.54,223.25,214.79,214.84,103.64,278.02,44.45,46.19,90.88,523.32,503.32,266.06,275.72,584.44,598.86,102.67,103.44,110.78,111.09,76.31,146.54,
3,156.57,166.83,323.99,1817.59,1872.22,920.15,943.78,1863.43,1844.91,312.93,314.14,302.65,299.6,160.69,387.28,40.47,41.59,182.26,699.8,700.9,355.2,364.38,659.32,629.99,90.39,90.9,87.86,84.76,57.05,109.26,
4,199.18,209.75,483.04,2101.61,2178.12,1095.04,1135.48,2158.84,2116.41,396.85,399.35,374.72,368.32,250.69,469.85,42.61,42.92,159.05,284.01,306.05,174.89,191.77,295.42,271.66,83.93,85.2,72.02,68.76,90,82.57,
5,226.23,235.06,542.75,2314.14,2367.04,1215.82,1261.99,2399.37,2363.16,492.93,495.81,453.03,442.43,345.73,555.91,27.05,25.31,59.74,212.54,188.92,120.78,126.51,240.53,246.75,96.08,96.46,78.36,74.06,95.04,86,
6,248.38,256.95,609.62,2562.26,2573.28,1320.5,1366.44,2655.95,2629.57,588.95,589.52,541.98,524.36,450.92,650.31,22.15,21.89,66.84,247.96,206.24,104.68,104.45,256.58,266.25,96.02,93.71,88.91,81.98,105.19,94.46,
7,274.41,282.42,662.27,2904.21,2846.12,1449.37,1498.92,2999.54,2990.53,645.5,644.66,612.69,599.89,561.34,755.24,26.03,25.47,52.69,341.95,272.84,128.87,132.48,343.59,361.12,56.55,55.14,70.7,75.48,110.42,104.93,
8,292.88,300.02,701.03,3085.42,3043.54,1636.35,1689.99,3321.5,3235.15,688.55,689.12,653.02,640.12,613.48,805.25,18.47,17.56,38.76,181.21,197.42,186.98,191.07,321.96,244.62,43.11,44.52,40.34,40.23,52.14,50.01,
9,307.37,314.01,720.99,3173.58,3158.94,1799.77,1857.57,3446.68,3346.73,725.46,728.59,686.59,672.48,655.09,843.04,14.44,14.03,19.96,88.16,115.4,163.34,167.66,125.18,111.58,36.91,39.47,33.57,32.42,41.67,37.8,
10,321.05,327.23,733.9,3252.93,3237.03,1852.15,1911.05,3532.04,3431.6,756.22,762.56,717.02,701.59,690.04,865.59,13.73,13.22,12.91,79.35,78.09,52.46,53.48,85.36,85.04,30.77,33.9,30.42,29.11,34.95,22.55,
11,337.33,343.81,748.48,3338.73,3311.97,1892.75,1954.32,3618.55,3520.57,787.89,794.09,743.92,729.71,723.13,905.65,16.23,16.53,14.55,85.8,74.94,40.6,43.27,86.51,88.8,31.6,31.54,26.91,28.11,33.08,40.06,
12,352.49,357.69,758.56,3407.85,3369.28,1926.52,1988.72,3689.99,3597.09,810.15,813.6,761.7,749.12,743.8,931.3,15.16,13.88,10.08,69.11,57.31,33.69,34.32,71.27,76.52,22.32,19.57,17.83,19.41,20.68,25.65,
13,362.44,367.18,766.91,3453.19,3418.87,1957.62,2020.6,3752.74,3652.79,827.74,829.91,776.86,765.17,760.79,950.75,9.95,9.49,8.35,45.34,49.59,31.18,31.88,62.75,55.71,17.59,16.31,15.16,16.1,16.99,19.45,
14,373.1,377.54,778.6,3499.79,3459.96,1984.08,2048.64,3808.78,3707.03,846.03,846.8,792.23,781.06,778.24,970.78,10.67,10.36,11.69,46.44,41.09,26.46,28.04,56.2,54.07,18.23,16.89,15.37,15.89,17.44,20.03,
15,382.6,386.68,789.5,3538.2,3495.7,2006.31,2072.04,3857.28,3753.23,861.45,861.71,805.08,794.59,792.39,988.74,9.49,9.19,10.87,38.57,35.9,22.15,23.4,48.5,46.2,15.48,14.9,12.8,13.48,14.15,17.96,
16,392.09,396.02,797.46,3578.19,3528.76,2027.12,2093.95,3905.61,3800.42,877.7,876.99,818.88,808.28,807.12,1014.46,9.49,9.34,7.96,39.99,32.9,20.81,21.91,48.17,47.19,16.18,15.29,13.79,13.74,14.67,25.72,
17,401.22,404.44,805.07,3617.08,3557.57,2046.44,2113.5,3950.34,3844.66,890.94,891.13,829.63,818.82,819.27,1037.52,9.13,8.42,7.64,38.73,28.97,19.32,19.48,44.73,44.4,13.24,14.14,10.75,10.54,12.21,23.07,
18,410,412.91,812.92,3656.75,3584.02,2065.52,2131.88,3998.18,3891.68,901.37,901.37,838.13,827.69,828.25,1056.19,8.78,8.47,7.84,39.67,26.29,19.08,18.38,47.84,47.02,10.36,10.23,8.5,8.92,8.92,18.67,
19,418.27,420.62,820.73,3688.08,3605.74,2083.27,2148.61,4027.02,3927.07,909.43,909.3,845.21,835.08,834.97,1069.44,8.27,7.71,7.81,31.33,21.73,17.75,16.73,28.84,35.39,8.06,7.87,7.08,7.4,6.78,13.25,
20,427.61,429.09,825.54,3708.71,3626.84,2100.7,2166.98,4051.43,3954.27,916.85,916.65,851.66,840.91,841.1,1079.65,9.39,8.47,4.78,20.62,21.1,17.36,18.38,24.41,27.2,7.42,7.36,6.4,5.82,6.07,10.21,
21,433.48,435.72,829.84,3728.54,3648.09,2111.78,2183.08,4074.86,3980.49,923.75,923.69,857.95,847.31,847.05,1089.4,5.87,6.63,4.33,19.84,21.25,11.15,16.02,23.43,26.22,6.91,7.04,6.35,6.4,6.01,9.82,
22,439.4,440.67,833.84,3747.75,3670.92,2122.61,2194.63,4094.85,4005.56,930.86,930.92,863.62,852.92,852.54,1098.19,5.92,4.95,3.99,19.21,22.83,10.84,11.62,19.99,25.07,7.1,7.23,5.61,5.56,5.49,8.72,
23,444.7,444.91,837.83,3766.01,3694.85,2133.76,2207.74,4115.5,4032.26,938.08,938.47,869.49,858.37,857.84,1107.04,5.31,4.24,3.99,18.26,24.09,11.15,13.11,20.64,26.54,7.23,7.55,5.93,5.45,5.3,8.85,
24,449.19,448.89,841.42,3783.02,3718.31,2144.13,2219.36,4133.36,4057.5,944.8,945.76,874.27,863.83,862.88,1115.57,4.49,4.03,3.6,17,23.3,10.37,11.54,17.86,25.23,6.72,7.23,4.72,5.45,4.98,8.59,
25,453.58,453.12,845.25,3799.7,3734.68,2154.34,2230.67,4152.36,4083.38,952.16,953.18,879.41,868.92,868.11,1123.07,4.39,4.18,3.82,16.69,16.53,10.21,11.31,19.17,25.89,7.36,7.42,5.14,5.09,5.23,7.49,
26,457.36,456.39,848.45,3813.56,3746.81,2162.66,2239.78,4167.27,4104.85,957.72,958.62,883.6,873.16,872.7,1129.2,3.78,3.32,3.17,14.01,12.12,8.32,9.11,14.91,21.46,5.57,5.44,4.2,4.25,4.59,6.14,
27,461.39,460.22,852.18,3828.36,3759.4,2171.54,2249.28,4183.49,4126.31,963.48,964.57,888.17,877.89,877.22,1135.99,3.98,3.83,3.74,14.8,12.59,8.87,9.5,16.38,21.46,5.69,5.95,4.56,4.72,4.52,6.78,
28,465.98,464.81,856.37,3845.83,3774.67,2182.3,2260.51,4204.79,4150.56,970,972.31,893.88,883.34,882.33,1143.1,4.59,4.59,4.19,17.48,15.27,10.76,11.23,21.14,24.25,6.52,7.74,5.72,5.45,5.17,7.11,
29,469.4,468.08,859.37,3858.27,3784.27,2189.6,2269.39,4220.69,4170.39,974.93,977.55,898.55,887.8,885.69,1148.01,3.42,3.27,3,12.28,9.6,7.38,8.87,15.89,19.83,4.93,5.25,4.67,4.46,3.36,4.91,
30,471.65,469.81,861.78,3866.46,3791.83,2195.49,2276.06,4233.47,4184.31,978.89,980.88,901.28,890.95,888.34,1151.56,2.19,1.74,2.41,8.34,7.4,5.81,6.75,12.78,13.93,3.9,3.39,2.73,3.09,2.65,3.49,
31,473.84,471.45,863.93,3874.64,3797.34,2201.07,2282.66,4245.92,4197.26,982.6,984.4,904.22,894.15,890.53,1153.95,2.19,1.63,2.18,8.19,5.51,5.58,6.52,12.29,12.94,3.71,3.52,2.94,3.2,2.2,2.39,
32,475.99,473.18,866.25,3882.67,3802.85,2206.48,2289.26,4258.21,4210.69,986.76,987.91,907.21,897.61,892.92,1156.34,2.19,1.74,2.32,7.87,5.51,5.42,6.6,12.45,13.44,4.16,3.52,2.99,3.46,2.33,2.39,
33,477.98,475.02,868.23,3889.6,3808.99,2211.9,2294.83,4271.15,4223.8,989.58,991.37,910.04,901.23,895.51,1158.67,1.99,1.84,1.98,6.93,6.14,5.42,5.58,12.94,13.11,2.81,3.39,2.83,3.62,2.65,2.33,
34,479.97,477.06,870.24,3897.94,3815.29,2217.24,2301.27,4284.26,4236.91,992.65,995.14,913.03,904.48,898.48,1160.99,1.99,2.04,2.01,8.34,6.14,5.34,6.44,13.11,13.11,3.07,3.84,2.99,3.25,2.97,2.33,
35,482.62,479.56,872.74,3908.49,3824.74,2222.66,2306.77,4299.17,4250.83,996.36,999.75,916.59,908.46,902.1,1164.48,2.65,2.5,2.49,10.55,9.6,5.42,5.5,14.75,13.93,3.71,4.54,3.57,3.99,3.55,3.49,
36,484.76,481.04,875.91,3918.72,3828.83,2227.69,2313.76,4311.95,4261.16,1000.32,1002.75,919.48,913.19,903.58,1167.07,2.14,1.48,3.17,10.23,4.09,5.1,6.99,12.94,10.32,3.97,3.01,2.83,4.72,1.49,2.58,
37,485.94,482.11,877.69,3921.24,3830.88,2230.75,2315.8,4320.63,4266.07,1002.5,1004.29,920.69,914.6,905.01,1168.62,1.17,1.07,1.78,2.52,1.89,3.06,2.04,8.68,4.92,2.24,1.54,1.26,1.42,1.42,1.55,
38,487.11,483.18,880.07,3923.92,3832.77,2232.56,2317.84,4326.53,4270.99,1003.78,1005.82,921.94,916.07,906.43,1170.23,1.17,1.07,2.38,2.52,1.89,1.81,2.04,5.9,4.92,1.28,1.54,1.26,1.42,1.42,1.55,
