BioGasFermentation:ExpParam,11
 
name,importable
InocToSubRatio,2
ProcessTemp,42
MeasurementType,AMPTSV2
CO2 concentration [%] of flush gas,0
Process temperature [Celsius],45
Mixer on time [min],15
Mixer off time [min],5
Mixer speed adjustment [%],60
Eliminate overestimation,No
timeScale,Day
 
BioGasFermentation:metaData,15,16
 
Row,Layout,Blank,Excluded,Flow Cell nr.,Name,Substrate VS/COD amount [g],Inoculum VS/COD amount [g],Type of unit [VS/COD],Headspace volume [ml],Assumed CH4 content [%],yield,sd_yield,production,sd_production,time_production,sd_time_production
R1,Blank,TRUE,FALSE,1,Blank 1,0,12.44,VS,200,60,2.03999999999996,2.8849956672411,71.6,5.26794551983978,1,0
R2,Blank,TRUE,FALSE,2,Blank 2,0,12.44,VS,200,60,-2.04000000000002,2.8849956672411,79.05,5.26794551983978,1,0
R3,Cellulose,FALSE,FALSE,3,Cellulose,8.22,16.43,VS,200,60,28.9901698468953,NA,182.26,NA,3,NA
R4,S1 ctrl,FALSE,FALSE,4,untr. sub A 1 1,5.59,11.18,VS,200,60,625.882259892205,9.87799079478673,699.8,0.777817459305218,3,0
R5,S1 ctrl,FALSE,FALSE,5,untr. sub A 1 2,5.59,11.18,VS,200,60,611.912671341221,9.87799079478673,700.9,0.777817459305218,3,0
R6,S1 7d,FALSE,FALSE,6,Treatment A - Sub A 1,6.7,13.4,VS,200,60,255.168661515573,9.49000623347673,355.2,6.49124025129251,3,0
R7,S1 7d,FALSE,FALSE,7,Treatment A - Sub A 2,6.7,13.4,VS,200,60,268.589557037961,9.49000623347673,364.38,6.49124025129251,3,0
R8,S1 4d,FALSE,FALSE,8,Treatment B - Sub A 1,3.72,7.43,VS,200,60,1095.30245825122,11.2129647909123,659.32,20.7394418922015,3,0
R9,S1 4d,FALSE,FALSE,9,Treatment B - Sub A 2,3.72,7.43,VS,200,60,1079.4449313695,11.2129647909123,629.99,20.7394418922015,3,0
R10,S2 ctrl,FALSE,FALSE,10,untr. sub B 1 1,6.46,12.94,VS,200,60,77.8018924273043,0.0207972582702038,119.88,0.0494974746830535,1,0
R11,S2 ctrl,FALSE,FALSE,11,untr. sub B 1 2,6.46,12.94,VS,200,60,77.8313041920102,0.0207972582702038,119.81,0.0494974746830535,1,0
R12,S2 4d,FALSE,FALSE,12,Treatment A - Sub B 1,1.94,3.88,VS,200,60,402.727085888554,2.21973211207529,110.78,0.219203102167831,2,0
R13,S2 4d,FALSE,FALSE,13,Treatment A - Sub B 2,1.94,3.88,VS,200,60,399.587910630822,2.21973211207529,111.09,0.219203102167831,2,0
R14,S2 6d,FALSE,FALSE,14,FTreatment B - Sub B 1,5.01,10.02,VS,200,60,103.66261688841,42.3219639534124,110.42,25.5406969364581,7,3.53553390593274
R15,S2 6d,FALSE,FALSE,15,FTreatment B - Sub B 2,5.01,10.02,VS,200,60,163.514912297591,42.3219639534124,146.54,25.5406969364581,2,3.53553390593274
 
BioGasFermentation:BioGasData,735,7
 
Row,reactor,time,product,production,net_product,yield,rel_production
1,1,0,0,0,0,0,0
2,1,1,71.6,71.6,-3.72499999999999,-3.72499999999999,14.42
3,1,2,116.1,44.45,-4.56999999999999,-4.56999999999999,23.39
4,1,3,156.57,40.47,-5.13,-5.13,31.54
5,1,4,199.18,42.61,-5.285,-5.285,40.12
6,1,5,226.23,27.05,-4.41499999999999,-4.41499999999999,45.57
7,1,6,248.38,22.15,-4.285,-4.285,50.04
8,1,7,274.41,26.03,-4.005,-4.005,55.28
9,1,8,292.88,18.47,-3.56999999999999,-3.56999999999999,59
10,1,9,307.37,14.44,-3.31999999999999,-3.31999999999999,61.92
11,1,10,321.05,13.73,-3.08999999999997,-3.08999999999997,64.68
12,1,11,337.33,16.23,-3.24000000000001,-3.24000000000001,67.96
13,1,12,352.49,15.16,-2.60000000000002,-2.60000000000002,71.01
14,1,13,362.44,9.95,-2.37,-2.37,73.01
15,1,14,373.1,10.67,-2.22000000000003,-2.22000000000003,75.16
16,1,15,382.6,9.49,-2.03999999999996,-2.03999999999996,77.07
17,1,16,392.09,9.49,-1.96499999999997,-1.96499999999997,78.99
18,1,17,401.22,9.13,-1.61000000000001,-1.61000000000001,80.83
19,1,18,410,8.78,-1.45500000000004,-1.45500000000004,82.59
20,1,19,418.27,8.27,-1.17500000000001,-1.17500000000001,84.26
21,1,20,427.61,9.39,-0.740000000000009,-0.740000000000009,86.14
22,1,21,433.48,5.87,-1.12,-1.12,87.32
23,1,22,439.4,5.92,-0.634999999999991,-0.634999999999991,88.52
24,1,23,444.7,5.31,-0.105000000000018,-0.105000000000018,89.59
25,1,24,449.19,4.49,0.150000000000034,0.150000000000034,90.49
26,1,25,453.58,4.39,0.229999999999961,0.229999999999961,91.37
27,1,26,457.36,3.78,0.485000000000014,0.485000000000014,92.14
28,1,27,461.39,3.98,0.58499999999998,0.58499999999998,92.95
29,1,28,465.98,4.59,0.585000000000036,0.585000000000036,93.87
30,1,29,469.4,3.42,0.659999999999968,0.659999999999968,94.56
31,1,30,471.65,2.19,0.919999999999959,0.919999999999959,95.01
32,1,31,473.84,2.19,1.19499999999999,1.19499999999999,95.46
33,1,32,475.99,2.19,1.40499999999997,1.40499999999997,95.89
34,1,33,477.98,1.99,1.48000000000002,1.48000000000002,96.29
35,1,34,479.97,1.99,1.45500000000004,1.45500000000004,96.69
36,1,35,482.62,2.65,1.52999999999997,1.52999999999997,97.22
37,1,36,484.76,2.14,1.86000000000001,1.86000000000001,97.66
38,1,37,485.94,1.17,1.91500000000002,1.91500000000002,97.89
39,1,38,487.11,1.17,1.96500000000003,1.96500000000003,98.13
40,1,39,488.23,1.17,1.99000000000001,1.99000000000001,98.35
41,1,40,489.61,1.38,1.96500000000003,1.96500000000003,98.63
42,1,41,491.04,1.38,1.96499999999997,1.96499999999997,98.92
43,1,42,492.37,1.38,1.99000000000001,1.99000000000001,99.19
44,1,43,493.08,0.71,1.98999999999995,1.98999999999995,99.33
45,1,44,493.8,0.71,1.99000000000001,1.99000000000001,99.48
